Brand,Ownership Type,Longitude,Latitude
Starbucks,2,-114.07,51
Starbucks,2,-114.06,50.95
Starbucks,2,-114.04,50.98
Starbucks,2,-114.11,51.02
Starbucks,2,-114.07,51.05
Starbucks,1,-114.01,51.13
Starbucks,2,-113.95,50.91
Starbucks,1,-114.14,51.02
Starbucks,1,-114.16,51.11
Starbucks,2,-114.21,51.04
Starbucks,2,-114.07,50.91
Starbucks,2,-114.09,51.07
Starbucks,1,-114.1,50.97
Starbucks,2,-113.97,50.93
Starbucks,2,-114.17,51.02
Starbucks,2,-114.08,50.96
Starbucks,1,-114.16,51.08
Starbucks,1,-114.17,51.01
Starbucks,1,-114.06,51.04
Starbucks,1,-114.01,51.13
Starbucks,2,-114.14,51.04
Starbucks,2,-114.15,51.08
Starbucks,2,-114.13,51.16
Starbucks,1,-114.07,51.05
Starbucks,2,-114.07,51.05
Starbucks,2,-114.07,51.05
Starbucks,2,-114.07,51.15
Starbucks,1,-114.07,51.13
Starbucks,2,-114.07,51.04
Starbucks,2,-114.03,51.1
Starbucks,2,-114.21,51.15
Starbucks,1,-114.12,50.94
Starbucks,2,-114.16,51.14
Starbucks,2,-114.16,51.09
Teavana,2,-114.16,51.08
Starbucks,1,-114.2,51.13
Starbucks,2,-114.01,50.96
Starbucks,1,-114.21,51.04
Starbucks,2,-114.08,51.04
Starbucks,1,-114.13,51.07
Starbucks,1,-114.01,51.13
Starbucks,1,-114.13,51.07
Teavana,2,-113.98,51.06
Starbucks,2,-114.07,51.05
Starbucks,2,-114.07,51.05
Starbucks,1,-114.09,51.06
Starbucks,2,-114.11,50.91
Starbucks,1,-113.95,50.88
Starbucks,2,-114.07,51.05
Starbucks,1,-114.12,51.02
Starbucks,2,-114.07,51.05
Starbucks,2,-114.08,51.05
Starbucks,1,-114.17,51.07
Starbucks,1,-114.06,51.04
Starbucks,2,-114.05,51.05
Starbucks,2,-113.98,51.07
Starbucks,1,-114.13,51.07
Starbucks,2,-114.16,51.1
Starbucks,2,-114.21,51.08
Starbucks,2,-114.09,51.04
Starbucks,2,-113.99,51.08
Starbucks,2,-114.06,51.05
Starbucks,2,-114.07,51
Starbucks,2,-114.03,51.15
Starbucks,2,-114.08,51.04
Starbucks,1,-114.06,51.04
Starbucks,2,-114.2,51.13
Starbucks,1,-112.86,53.02
Starbucks,2,-112.86,53.02
Starbucks,2,-115.36,51.09
Starbucks,1,-115.36,51.09
Starbucks,2,-113.83,51.05
Starbucks,1,-113.82,51.05
Starbucks,2,-114.47,51.19
Starbucks,1,-114.48,51.19
Starbucks,2,-113.51,53.42
Starbucks,2,-113.29,53.53
Starbucks,1,-113.46,53.52
Starbucks,2,-113.5,53.49
Starbucks,1,-113.47,53.57
Starbucks,1,-113.49,53.55
Starbucks,2,-113.49,53.54
Starbucks,2,-113.49,53.54
Starbucks,2,-113.5,53.54
Starbucks,2,-113.5,53.52
Starbucks,1,-113.53,53.53
Starbucks,2,-113.49,53.6
Starbucks,2,-113.51,53.54
Starbucks,2,-113.62,53.54
Starbucks,1,-113.64,53.52
Starbucks,1,-113.49,53.6
Starbucks,2,-113.54,53.54
Starbucks,2,-113.51,53.55
Starbucks,2,-113.54,53.62
Starbucks,2,-113.61,53.5
Starbucks,1,-113.5,53.57
Starbucks,2,-113.52,53.57
Starbucks,1,-113.52,53.55
Starbucks,1,-113.43,53.54
Starbucks,2,-113.37,53.48
Starbucks,2,-113.49,53.46
Starbucks,2,-113.5,53.54
Starbucks,2,-113.52,53.52
Teavana,2,-113.62,53.52
Starbucks,2,-113.5,53.54
Starbucks,2,-113.41,53.63
Starbucks,2,-113.49,53.6
Starbucks,2,-113.48,53.45
Starbucks,1,-113.42,53.6
Starbucks,2,-113.57,53.45
Starbucks,1,-113.51,53.57
Starbucks,2,-113.5,53.52
Starbucks,2,-113.61,53.44
Starbucks,2,-113.51,53.56
Starbucks,2,-113.63,53.52
Starbucks,2,-113.45,53.6
Starbucks,1,-113.53,53.52
Starbucks,2,-113.62,53.44
Starbucks,1,-113.51,53.45
Starbucks,1,-113.58,53.54
Starbucks,2,-113.67,53.49
Starbucks,2,-113.68,53.51
Starbucks,1,-113.52,53.49
Starbucks,2,-113.49,53.54
Starbucks,1,-113.52,53.52
Starbucks,2,-113.42,53.54
Starbucks,2,-113.43,53.45
Starbucks,2,-113.58,53.54
Starbucks,2,-113.54,53.63
Starbucks,2,-113.53,53.55
Starbucks,2,-113.52,53.46
Starbucks,2,-113.5,53.51
Starbucks,2,-113.56,53.6
Starbucks,2,-113.53,53.54
Starbucks,1,-113.49,53.55
Starbucks,1,-113.41,53.47
Starbucks,1,-113.5,53.55
Starbucks,1,-113.49,53.55
Starbucks,1,-113.59,53.52
Starbucks,2,-113.41,53.61
Starbucks,2,-113.62,53.54
Starbucks,1,-113.53,53.53
Starbucks,1,-113.59,53.47
Starbucks,1,-113.55,53.56
Starbucks,1,-113.42,53.42
Starbucks,1,-113.62,53.53
Starbucks,2,-113.49,53.45
Starbucks,2,-113.62,53.52
Starbucks,2,-113.49,53.47
Starbucks,2,-113.43,53.62
Starbucks,2,-113.62,53.53
Starbucks,1,-113.6,53.43
Starbucks,2,-113.51,53.49
Starbucks,2,-113.48,53.43
Starbucks,1,-113.49,53.55
Starbucks,1,-111.43,56.73
Starbucks,2,-111.44,56.76
Starbucks,1,-111.15,56.66
Starbucks,2,-111.36,56.72
Starbucks,1,-111.37,56.72
Starbucks,1,-113.21,53.69
Starbucks,2,-113.22,53.69
Starbucks,1,-118.79,55.18
Starbucks,1,-118.79,55.16
Starbucks,2,-118.8,55.14
Starbucks,2,-118.77,55.17
Starbucks,2,-118.82,55.17
Starbucks,1,-117.59,53.41
Starbucks,1,-113.55,53.27
Starbucks,2,-113.55,53.27
Starbucks,1,-112.89,49.69
Starbucks,2,-112.8,49.68
Starbucks,1,-112.79,49.67
Starbucks,2,-112.89,49.69
Starbucks,2,-112.84,49.7
Starbucks,1,-112.87,49.68
Starbucks,2,-110.06,53.28
Starbucks,1,-110.01,53.28
Starbucks,2,-110.65,50
Starbucks,1,-110.69,50.03
Starbucks,2,-110.66,50.01
Starbucks,1,-112.83,49.7
Starbucks,2,-113.97,50.71
Starbucks,1,-113.98,50.72
Starbucks,2,-113.81,52.24
Starbucks,1,-113.81,52.26
Teavana,2,-113.81,52.25
Starbucks,2,-113.82,52.24
Starbucks,1,-113.82,52.25
Starbucks,2,-113.81,52.29
Starbucks,2,-113.77,52.29
Starbucks,2,-113.84,52.29
Starbucks,2,-113.82,52.21
Teavana,2,-113.99,51.2
Starbucks,2,-113.99,51.21
Starbucks,1,-113.32,53.51
Starbucks,1,-113.3,53.53
Starbucks,2,-113.27,53.57
Starbucks,2,-113.32,53.56
Starbucks,2,-113.31,53.54
Starbucks,2,-113.31,53.51
Starbucks,1,-113.91,53.54
Starbucks,2,-113.88,53.54
Starbucks,2,-113.93,53.54
Starbucks,1,-113.58,53.65
Starbucks,1,-113.63,53.64
Starbucks,2,-113.64,53.67
Starbucks,2,-113.61,53.62
Starbucks,2,-113.63,53.65
Starbucks,2,-113.62,53.65
Starbucks,2,-113.63,53.65
Starbucks,1,-113.98,53.54
Starbucks,2,-113.39,51.04
Starbucks,1,-113.39,52.96
Starbucks,2,-122.22,49.04
Starbucks,2,-122.27,49.04
Starbucks,2,-122.31,49.05
Starbucks,2,-122.29,49.04
Starbucks,2,-122.27,49.03
Starbucks,1,-122.31,49.04
Starbucks,2,-122.38,49.06
Starbucks,2,-122.46,49.06
Starbucks,2,-122.32,49.05
Starbucks,1,-122.27,49.04
Starbucks,1,-122.32,49.05
Starbucks,2,-122.38,49.06
Starbucks,1,-122.46,49.06
Starbucks,1,-122.92,49.28
Starbucks,2,-123.01,49.26
Starbucks,1,-122.97,49.28
Starbucks,2,-123,49.27
Starbucks,2,-123,49.23
Starbucks,1,-123,49.28
Starbucks,2,-123,49.23
Starbucks,2,-123,49.23
Starbucks,2,-123,49.23
Starbucks,2,-122.98,49.2
Starbucks,2,-122.98,49.26
Starbucks,2,-123,49.27
Starbucks,2,-123.02,49.25
Starbucks,2,-123,49.27
Starbucks,2,-122.97,49.28
Starbucks,2,-122.89,49.25
Starbucks,2,-123,49.23
Starbucks,1,-122.91,49.28
Starbucks,2,-123,49.23
Starbucks,2,-122.98,49.2
Teavana,2,-123,49.23
Starbucks,2,-122.96,49.22
Starbucks,1,-122.9,49.25
Starbucks,1,-122.97,49.25
Starbucks,2,-123.01,49.28
Starbucks,2,-125.25,50.03
Starbucks,2,-125.25,50.03
Starbucks,1,-117.66,49.3
Starbucks,2,-121.96,49.11
Starbucks,2,-121.96,49.17
Starbucks,2,-121.95,49.17
Starbucks,2,-121.96,49.14
Starbucks,1,-121.96,49.14
Starbucks,2,-121.98,49.15
Starbucks,1,-121.96,49.16
Starbucks,2,-121.96,49.1
Starbucks,2,-122.32,49.05
Starbucks,2,-122.73,49.12
Starbucks,2,-122.82,49.25
Starbucks,2,-122.8,49.28
Starbucks,2,-122.8,49.3
Starbucks,2,-122.8,49.28
Starbucks,2,-122.84,49.26
Starbucks,2,-122.81,49.28
Starbucks,2,-122.76,49.27
Starbucks,2,-122.84,49.23
Starbucks,1,-122.79,49.28
Starbucks,2,-124.96,49.71
Starbucks,2,-124.99,49.68
Starbucks,2,-115.75,49.53
Starbucks,1,-115.77,49.51
Starbucks,2,-120.22,55.75
Starbucks,1,-120.22,55.75
Starbucks,2,-123.13,49.01
Starbucks,2,-122.89,49.12
